Zones,Total,Ser,Minor,VKT,LN_PO,P_YP,P_INC1,P_Cycle,P_Res,P_Coma,Index,Trams,T_Sig,Bus,Schol,Speed
POA3815,27,9,17,2.5894,7.977,28.262,39.976,0.272,5.3065,0.7471,0.1558,0,0,5,2,0
POA3816,0,0,0,0,7.587,27.028,45.923,0.417,2.743,0,0.0646,0,0,0,0,0
POA3818,0,0,0,0,9.4,25.635,49.785,0.261,0,0,0,0,0,0,0,0
POA3833,0,0,0,0,5.759,19.243,70.435,0,0,0,0,0,0,0,0,0
POA3910,104,30,72,5.46,9.97,27.767,34.233,0.085,67.2312,2.1053,0.4559,0,15,90,5,0
POA3911,38,10,27,5.4753,8.093,24.671,40.02,0.292,92.5667,1.1614,0.1877,0,3,26,3,0
POA3912,99,45,51,4.9054,9.589,26.945,36.992,0.148,59.5296,0.77,0.4209,0,3,45,5,0
POA3913,31,4,25,4.2756,8.103,27.223,38.03,0.215,53.5023,2.0856,0.4815,0,1,13,3,0
POA3915,76,24,50,5.413,9.108,25.584,56.671,0.706,22.7152,1.6752,0.417,0,3,27,4,0
POA3916,1,1,0,3.1485,6.373,20.137,34.911,2.139,43.8066,0.7326,0.5207,0,0,4,0,0
POA3918,10,4,5,3.743,8.125,28.538,38.016,0.38,61.9918,0.0933,0.4548,0,1,8,1,0
POA3919,13,4,8,2.7935,7.951,26.418,45.596,0.619,29.4279,19.3362,0.7184,0,0,11,2,0
POA3920,8,2,6,0,6.989,24.608,16.049,1.151,0.1807,0,0.0247,0,0,1,0,0
POA3926,31,15,16,4.4823,8.101,23.287,41.567,0.599,42.6889,1.1344,0.4411,0,0,5,1,0
POA3927,2,1,1,2.2269,7.263,22.985,36.774,0,52.4579,3.4975,0.5438,0,0,21,2,0
POA3928,9,6,3,3.8875,6.151,23.881,33.103,0,47.4278,0,0.3555,0,0,0,0,0
POA3929,11,3,7,2.1948,6.757,17.093,38.462,0,3.2701,0.151,0.1267,0,0,5,0,0
POA3930,67,25,40,4.6925,9.755,27.018,30.565,0.358,78.5978,1.5843,0.3866,0,7,30,7,0
POA3931,159,40,118,5.0068,10.018,22.393,48.363,0.505,64.4225,6.4273,0.6098,0,9,118,7,0
POA3933,31,15,16,5.4046,6.935,24.027,28.519,0.732,48.8381,0.371,0.4159,0,0,0,1,0
POA3934,64,24,38,4.5899,9.746,27.401,35.848,0.341,59.7695,4.7322,0.5144,0,5,65,3,0
POA3936,79,26,50,5.175,9.107,19.581,54.351,0.457,31.6691,1.5525,0.444,0,2,59,3,0
POA3937,26,7,18,2.2394,7.551,23.542,32.793,0,52.8473,0.0863,0.3854,0,0,3,1,0
POA3938,16,7,9,2.9137,7.841,16.201,48.97,1.138,52.6833,1.1473,0.4555,0,2,18,0,0
