Zones,Total,Ser,Minor,VKT,LN_PO,P_YP,P_INC1,P_Cycle,P_Res,P_Coma,Index,Trams,T_Sig,Bus,Schol,Speed
POA3155,114,30,83,3.7662,9.944,21.234,42.358,0.56,76.2619,5.4574,0.4901,0,15,116,5,51
POA3156,221,68,152,5.8087,10.482,25.278,34.25,0.449,44.7044,13.8391,0.6667,0,24,176,11,55.8765
POA3158,28,10,18,0,8.849,25.991,29.751,0.262,79.6041,1.3923,0.4016,0,3,32,3,52
POA3159,35,11,24,4.7833,7.853,28.255,27.61,0.48,82.8648,4.9556,0.3371,0,0,16,2,54.507
POA3160,82,21,59,4.1517,9.115,26.897,33.057,0.4,81.3602,0.6066,0.3011,0,5,74,5,51.3684
POA3161,129,42,87,4.7008,9.586,20.337,28.574,2,89.8465,1.9994,0.2202,40,20,34,4,50.9402
POA3162,120,35,84,4.4781,9.707,21.838,33.102,1.572,86.5982,3.6939,0.2975,36,10,48,4,49.717
POA3163,191,52,138,4.7813,10.294,18.14,37.68,1.761,86.6431,3.7079,0.2932,17,20,106,5,50.3846
POA3165,109,35,73,4.9829,10.163,24.541,36.248,1.187,86.159,2.4274,0.3291,0,19,141,8,49.9315
POA3166,165,49,116,5.0756,10.014,21.006,36.715,1.6,75.0882,4.2499,0.4511,0,22,128,7,52.3529
POA3167,98,24,72,4.3684,9.12,20.941,39.269,1.173,41.3329,0.6007,0.6959,0,15,76,3,53.8462
POA3168,185,59,124,5.0695,9.735,13.835,46.655,1.217,50.7787,25.8346,0.6782,0,24,84,2,54.878
POA3169,98,26,71,4.7122,9.857,19.477,44.085,0.752,43.4823,1.4552,0.7085,0,19,101,5,51.3433
POA3170,141,48,93,5.883,9.778,20.746,36.25,0.402,64.6287,23.5137,0.5333,0,23,110,5,63.5
POA3171,200,63,135,4.8254,9.892,21.344,54.123,0.534,46.6066,5.798,0.772,0,30,86,7,50.4636
POA3172,162,49,109,5.787,10.015,24.418,43.269,0.493,42.7794,0.9017,0.7253,0,24,143,6,60.2273
POA3173,154,51,102,6.0964,9.898,25.175,38.606,0.372,51.4289,3.521,0.5805,0,26,82,6,62.7778
POA3174,244,76,164,5.1238,10.485,21.936,53.141,0.484,76.4083,8.8027,0.4685,0,26,124,11,50.6504
POA3175,748,237,504,7.0681,10.779,23.678,54.53,0.478,23.4849,16.6594,0.7657,0,101,330,15,62.0665
POA3177,69,23,44,5.4243,9.236,25.441,60.573,0.654,64.7629,4.5234,0.622,0,13,46,2,52.4658
POA3178,138,36,101,5.3312,10.457,28.746,25.626,0.253,52.5593,11.043,0.686,0,22,159,6,57.7311
POA3179,38,10,28,4.9463,8.681,25.238,31.609,0.312,28.4891,22.065,0.7766,0,10,54,3,56.1017
POA3180,61,11,50,0,8.873,23.249,36.891,0.576,48.3325,9.0322,0.7072,0,5,60,2,52.0455
POA3181,277,82,193,3.7241,9.813,10.31,31.776,4.327,74.9985,17.3086,0.4062,51,21,33,4,48.4932
POA3182,242,72,168,5.2396,9.935,8.825,31.523,4.976,61.3615,11.018,0.5479,60,37,40,3,45.4913
POA3183,125,32,92,3.8268,9.796,17.795,32.619,4.617,88.1118,2.3315,0.2608,21,18,29,6,43.8068
POA3184,56,21,35,4.1995,9.591,15.009,26.097,5.699,77.4719,3.4791,0.3968,5,21,39,4,46.5789
POA3185,102,30,70,3.4952,9.411,21.735,33.11,2.991,88.471,8.1369,0.2312,17,14,63,4,46.1538
POA3186,186,64,121,5.0188,9.964,23.15,25.527,2.653,83.9388,3.3489,0.3134,0,30,111,8,50.1581
POA3187,108,30,76,4.8279,9.669,24.832,30.224,1.864,81.7645,1.3148,0.3206,10,12,53,4,53.3125
POA3188,88,32,55,4.1822,9.734,26.76,33.333,1.982,86.263,3.0338,0.2785,0,13,85,4,49.6269
POA3189,85,22,63,4.5658,8.572,20.897,39.298,1.688,34.6708,3.354,0.6145,0,7,55,5,53.6
POA3190,73,16,56,4.4445,9.236,23.512,37.118,2.121,74.3751,7.149,0.4872,0,12,64,1,52.4096
POA3191,46,15,30,3.5174,9.139,24.911,30.193,2.564,74.6558,4.4699,0.4548,0,8,45,4,49.802
POA3192,126,42,81,5.0061,9.918,21.531,41.179,1.406,62.568,12.2818,0.6138,0,23,122,6,53.5294
POA3193,86,36,49,3.4974,9.84,24.317,28.957,1.562,80.1406,1.1917,0.345,0,14,100,5,51.35
POA3194,107,30,77,4.6563,9.365,20.031,39.505,1.15,45.9508,4.9261,0.5852,0,22,68,8,47.9577
POA3195,215,64,149,5.1066,10.437,25.74,33.221,1.085,62.5472,12.1198,0.6516,0,33,135,11,55.1389
POA3196,142,49,92,3.9525,10.069,21.17,42.406,0.809,63.9206,16.1323,0.5876,0,18,116,5,54.3636
POA3197,41,16,25,4.5729,9.323,22.169,39.504,0.237,71.6931,15.4862,0.4831,0,5,57,2,55.6522
POA3198,152,53,99,6.0074,9.682,21.007,48.875,0.719,47.3012,12.4683,0.7869,0,16,84,8,57.6331
POA3199,370,126,238,6.2949,10.871,22.586,47.65,0.506,71.84,7.2137,0.5299,0,43,298,18,55.2273
POA3200,45,14,30,4.5051,8.635,23.356,63.205,0.843,41.4434,12.7576,0.7447,0,2,38,3,50.1923
POA3201,107,34,71,4.7339,9.859,27.1,39.936,0.296,40.7981,25.6346,0.7398,0,12,101,4,60.7087
POA3202,55,14,40,3.166,7.926,28.577,28.246,0.761,32.3088,8.6062,0.529,0,6,37,1,64.7619
POA3204,162,40,120,4.4271,10.247,24.974,33.504,1.783,86.7197,4.5451,0.2939,0,21,95,10,48.125
POA3205,159,49,110,4.5296,9.14,14.221,33.225,5.062,50.8661,23.8158,0.6028,32,35,19,2,51.7347
POA3206,115,38,77,4.3624,9.212,18.349,26.387,5.919,41.1338,3.1285,0.4909,34,28,21,4,48.8776
POA3207,191,57,133,5.4067,9.583,14.544,26.646,5.358,19.1886,13.246,0.8118,5,55,96,2,54.5876
POA3211,24,14,8,4.4907,7.239,27.064,33.333,0,2.2251,7.1509,0.227,0,0,1,1,76.3953
POA3212,0,0,0,0,9.557,26.912,35.228,0.39,0,66.5158,0.3276,0,0,0,0,0
POA3335,97,39,53,5.4691,7.474,21.408,47.767,0,1.6266,0.1002,0.0739,0,0,9,1,0
POA3337,177,58,114,5.9638,10.37,28.777,41.5,0.168,10.9267,2.4827,0.3526,0,12,173,12,0
