TAZ,Chd_09,Chd_10,Chd_11,Chd_12,Chd_13,Chd_T,Old_09,Old_10,Old_11,Old_12,Old_13,Old_T,Bik_09,Bik_10,Bik_11,Bik_12,Bik_13,Bik_T,Fat_09,Fat_10,Fat_11,Fat_12,Fat_13,Fat_T,Mbi_09,Mbi_10,Mbi_11,Mbi_12,Mbi_13,Mbi_T,Nit_09,Nit_10,Nit_11,Nit_12,Nit_13,Nit_T,OIn_09,OIn_10,OIn_11,OIn_12,OIn_13,Oln_T,Ped_09,Ped_10,Ped_11,Ped_12,Ped_13,Ped_T,Ser_09,Ser_10,Ser_11,Ser_12,Ser_13,Ser_T,Tot_09,Tot_10,Tot_11,Tot_12,Tot_13,Tot_T,Tru_09,Tru_10,Tru_11,Tru_12,Tru_13,Tru_T,WeD_09,WeD_10,WeD_11,WeD_12,WeD_13,WeD_T,WeE_09,WeE_10,WeE_11,WeE_12,WeE_13,WeE_T,VKT_0,LVKT_0,VKT_1,LVKT_1,VKT_2,LVKT_2,VKT_3,LVKT_3,VKT_A,LVKT_A,Ratio,Y_PoP,YA_Po,A_PoP,O_PoP,LNPOP,HHD1,HHD2,NO_MO,MOTO1,MOTO2,MOTOR,Bus,Car,Cyc,Walk,CY_WA,Modes,P_DEN,P_Res,P_Coma,P_Indu,P_Ofis,P_Park,P_Rds,P_Oths,Index,P_Sped,T_Sig,B_Stop,T_Stop,Train,Schols,AIM_ID,TOT_POPS,Area,sqkms,Long,Lat
TAZ2451,0,1,0,0,0,1,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,2,3,1,3,2,6,7,11,0,0,0,1,1,1,1,1,1,1,0,3,2,4,3,7,7,14,0,0,0,0,0,0,2,3,3,6,4,12,0,1,0,1,3,2,59.95,4.09,61.39,4.12,62.44,4.13,64.08,4.16,61.26,4.12,1.08,21.96,23.09,38.37,16.58,7.504695571,33.47550692,54.90963651,8.345643307,76.76111727,14.89323743,91.6543547,2.227096657,62.74469778,0.676116155,2.291801998,2.967918153,6.782637914,2040.217798,76.0271856,0.948205079,0,2.431624247,13.11044933,7.482518816,0,0.412806428,47,2,4,0,0,1,TAZ2467,1816.55217,1780.74308,1.78074308,145.122441,-37.80086495
TAZ2452,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,3,2,0,0,0,0,0,0,2,3,1,0,1,4,2,0,0,2,0,2,4,2,3,3,5,8,3,0,2,2,3,4,1,4,0,1,1,5,5,6,3,4,6,13,0,0,0,0,0,0,4,6,2,3,4,11,1,0,1,1,2,2,18.35,2.91,18.75,2.93,17.53,2.86,17.85,2.88,18.21,2.9,1,10.7,57.1,26.23,5.97,5.044805232,26.57344211,55.28566746,41.18039883,56.08965885,2.72993659,58.81959544,1.066141765,26.86472369,3.819657989,27.54951327,31.36917126,5.146184232,2506.340564,0,17.42951881,0,82.57042499,0,0,0,0.237745813,40,3,7,1,0,1,TAZ2468,155.2140656,123.8570532,0.123857053,144.9611187,-37.81368462
TAZ2453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,3,0,0,3,1,1,0,4,2,5,1,1,5,6,2,12,1,1,0,0,0,1,3,1,3,1,1,5,4,2,9,7,3,18,1,0,1,1,0,2,2,1,7,7,2,15,2,1,2,0,1,3,90.42,4.5,95.04,4.55,81.62,4.4,82.42,4.41,89.03,4.49,1,10.7,57.1,26.23,5.97,5.33123036,26.57344439,55.28567507,41.18039872,56.08966039,2.729936722,58.81959711,1.066141819,26.8647231,3.819658241,27.54951426,31.3691725,5.146184695,2506.340458,43.0382017,0,0,0.698689136,0,56.26332669,0,0.370579626,58,4,0,1,0,1,TAZ2469,206.6921234,164.9357511,0.164935751,144.9645901,-37.82737947
TAZ2454,0,0,0,0,0,0,1,1,1,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,2,3,2,1,5,6,0,1,1,1,1,3,0,1,0,2,0,3,2,4,2,3,5,9,0,0,0,0,0,0,2,4,0,2,5,6,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1.08,22,23.55,38.06,16.39,7.273880363,33.88376209,54.61674784,8.852422629,77.20755621,13.94002264,91.14757885,1.748433057,61.84714092,0.726293752,2.429859214,3.156152966,7.132541268,2354.303137,89.81576499,0,0,0.004372365,7.64443294,2.53530907,0,0.198689014,51,0,10,0,0,0,TAZ2470,1442.13562,1225.104667,1.225104667,145.1205875,-37.80970345
TAZ2455,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,2,1,0,0,0,1,0,1,1,1,0,1,2,1,2,2,0,3,4,0,0,0,0,0,0,0,2,1,0,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.08,22,23.55,38.06,16.39,7.236085151,33.88376222,54.61674699,8.852422811,77.207554,13.94002165,91.14757565,1.748433052,61.84713929,0.7262938,2.429859269,3.156153069,7.132541775,2354.303262,92.82690564,0,1.442826857,0,5.020979585,0.709737482,0,0.162173778,51,0,9,0,0,0,TAZ2471,1388.646973,1179.672337,1.179672337,145.1302215,-37.81107569
TAZ2456,0,1,1,0,0,2,0,1,1,1,1,3,1,0,1,2,2,3,0,0,0,1,0,1,1,1,1,0,0,2,0,1,0,2,1,3,2,2,1,3,2,6,0,1,0,1,0,2,2,0,2,2,0,4,4,2,3,6,2,11,0,0,0,0,0,0,3,1,2,5,2,8,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1.08,22,23.55,38.06,16.39,7.387945194,33.88376157,54.61674582,8.852423153,77.20756008,13.94002272,91.14758279,1.748433172,61.84714322,0.726293786,2.429859304,3.15615309,7.132541846,2354.30325,85.65942348,0.647796354,0,5.995815777,6.177066036,1.519607171,0,0.292704483,47,1,10,2,0,1,TAZ2472,1616.381348,1373.125268,1.373125268,145.1090377,-37.81265665
TAZ2457,0,0,0,0,0,0,2,0,3,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,3,6,1,1,3,1,0,5,1,2,2,0,0,4,2,4,4,2,3,10,0,0,0,0,0,0,2,4,3,2,3,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.08,22,23.55,38.06,16.39,6.795987835,33.88376118,54.61674458,8.8524226,77.20755577,13.94002163,91.1475774,1.748433193,61.84714325,0.726293817,2.429859406,3.156153223,7.132542029,2354.303232,59.41406287,4.245958229,0,23.0493312,9.967342651,3.323484545,0,0.577979906,51,4,12,0,0,0,TAZ2473,894.2521973,759.6759756,0.759675976,145.11733,-37.8143451
TAZ2458,0,0,1,0,0,1,4,4,3,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,2,1,2,6,4,6,4,3,3,13,1,2,2,1,1,5,2,3,2,0,2,5,6,9,6,3,5,18,0,0,0,0,0,0,4,7,4,3,3,14,2,2,2,0,2,4,0,0,0,0,0,0,0,0,0,0,1.08,22,23.55,38.06,16.39,6.704758666,33.88376276,54.61674715,8.852422661,77.20755653,13.94002212,91.14757865,1.748433232,61.84714465,0.726293834,2.429859374,3.156153208,7.132541665,2354.303353,77.103766,8.537696276,0,0.680793374,8.711809043,4.965190327,0,0.414324615,53,1,8,0,0,0,TAZ2474,816.2810059,693.4322409,0.693432241,145.125602,-37.81524644
TAZ2459,0,0,0,0,0,0,3,3,0,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2,1,2,4,7,3,2,4,7,9,5,2,2,0,0,4,3,4,3,1,4,8,10,7,5,5,11,17,0,0,0,0,0,0,7,7,4,3,7,14,3,0,1,2,4,3,26.24,3.27,26.84,3.29,27.52,3.31,28.39,3.35,26.86,3.29,1.08,22,23.55,38.06,16.39,6.321440114,33.88375994,54.61674355,8.852422815,77.20755046,13.94002192,91.14757239,1.748433167,61.8471458,0.726293837,2.429859509,3.156153346,7.13254211,2354.303337,51.10548611,6.091569862,0,21.77730183,3.277210037,12.84456583,4.904003544,0.703503451,58,4,4,4,0,0,TAZ2475,556.3736572,472.644635,0.472644635,145.1160466,-37.81842768
TAZ2460,0,0,0,1,0,1,2,2,1,3,2,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,4,3,5,4,1,3,5,3,9,6,1,2,3,1,6,2,2,0,2,3,4,6,4,3,7,6,14,0,0,0,0,0,0,6,4,2,5,6,11,0,0,1,2,0,3,26.08,3.26,25.98,3.26,26.54,3.28,27.14,3.3,26.2,3.27,1.08,22,23.55,38.06,16.39,6.024028884,33.88376295,54.61674374,8.852422107,77.20755396,13.94002199,91.14757595,1.748433215,61.84714215,0.726293821,2.429859396,3.156153218,7.132541997,2354.303348,43.19108333,16.98619841,0,12.85171675,0,22.41649485,4.554714871,0.721160443,47,5,8,0,0,1,TAZ2476,413.2401428,351.051621,0.351051621,145.1272528,-37.81868472
