Zones,Total,Ser,Minor,VKT,LN_PO,P_YP,INC1,Cycle,Res,Coma,Index,Trams,T_Sig,Schol,Bus,Speed,Longi,Latit,AREA
GRID771,3,1,2,0,7.2442,26.6429,44.8037,0.3922,0,99.4871,0.0165,0,0,0,0,80,145.6269989,-37.61600113,10883072.46
GRID772,0,0,0,0,6.6477,26.7185,44.3515,0.3546,0,96.8977,0.0711,0,0,0,0,0,145.6580048,-37.61819839,6554607.766
GRID773,0,0,0,0,5.1591,27.5862,36.5385,0,0,13.6927,0.2052,0,0,0,0,0,145.6950073,-37.6216011,5695189.993
GRID774,0,0,0,0,5.7494,27.707,37.234,0,0,2.6231,0.0624,0,0,0,0,0,145.7279968,-37.61640167,10291370.09
GRID775,0,0,0,0,5.8051,27.7108,37.3737,0,0,88.8626,0.1795,0,0,0,0,0,145.7610016,-37.61600113,10882345.36
GRID776,0,0,0,0,5.8051,27.7108,37.3737,0,0,100,0,0,0,0,0,0,145.7940063,-37.61600113,10882175.02
GRID777,0,0,0,0,5.8051,27.7108,37.3737,0,0,100,0,0,0,0,0,0,145.8269958,-37.61600113,10882009.2
GRID778,0,0,0,0,5.8051,27.7108,37.3737,0,0,24.0334,0.2834,0,0,0,0,0,145.8609924,-37.61600113,10881848.45
GRID779,1,1,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.8939972,-37.61600113,10881692.26
GRID780,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.927002,-37.61600113,10881540.43
GRID781,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.9609985,-37.61600113,10881392.99
GRID782,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.9940033,-37.61600113,10881251.13
GRID783,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.0269928,-37.61600113,10881113.27
GRID784,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.0610046,-37.61600113,10880979.82
GRID785,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.0939941,-37.61600113,10880851.78
GRID786,0,0,0,0,5.793,27.7439,36.7347,0,0,0,0,0,0,0,0,0,146.1269989,-37.61589813,10750845.89
GRID787,0,0,0,0,4.9558,27.4648,37.2093,0,0,0,0,0,0,0,0,0,146.1560059,-37.61299896,4667724.745
GRID788,0,0,0,0,5.8171,27.6786,42.7184,0,0,51.2369,0.356,0,0,0,0,0,144.5370026,-37.58760071,2222375.472
GRID789,1,1,0,0,7.3957,27.6243,42.1158,0.3279,0,6.018,0.155,0,0,0,0,0,144.5610046,-37.58280182,10769021.26
GRID790,0,0,0,0,7.4079,27.6531,42.2091,0.3241,0,0.7319,0.0506,0,0,0,0,100,144.5939941,-37.58269882,10896040.92
GRID791,0,0,0,0,7.4079,27.6531,42.2091,0.3241,0,0,0,0,0,0,0,0,144.6269989,-37.58269882,10895707.63
GRID792,3,3,0,2.6597,7.426,27.6355,41.5861,0.1585,0.7577,0,0.0632,0,0,0,0,97,144.6609955,-37.58280182,10771667.13
GRID793,22,8,14,2.8149,8.0643,27.6187,33.7513,0.1586,72.2094,0.5052,0.4237,0,0,2,53,64.4643,144.6940002,-37.58269882,10895054.51
GRID794,48,8,40,4.2308,8.1845,27.6151,32.6834,0.1396,46.1191,8.4296,0.7897,0,12,7,95,51.7606,144.727005,-37.58269882,10894734.97
GRID795,13,8,5,2.5697,8.18,27.8229,33.0484,0.2113,12.7336,0.1815,0.2939,0,0,1,24,63.6667,144.7610016,-37.58269882,10894420.54
GRID796,0,0,0,1.5747,8.1826,27.697,32.7715,0.1401,0,0,0,0,0,0,0,0,144.7940063,-37.58269882,10894110.63
GRID797,4,3,1,2.1099,8.1651,28.5552,33.9468,0.2175,0,0,0.0125,0,0,0,0,0,144.8269958,-37.58269882,10893804.75
GRID798,4,2,2,1.2011,8.1608,28.7918,34.2738,0.2195,0,0,0.0312,0,0,0,0,80,144.8609924,-37.58269882,10893504.28
GRID799,19,3,16,3.5252,8.1608,28.7918,34.2738,0.2195,0,0,0.0325,0,4,1,23,60.625,144.8939972,-37.58269882,10893208.2
GRID800,75,27,48,3.1886,8.1608,28.7918,34.2738,0.2195,22.2245,1.9756,0.5351,0,11,6,58,55,144.927002,-37.58269882,10892916.65
GRID801,4,2,2,0,7.7553,29.006,31.7263,0.3219,0.0288,1.9741,0.1962,0,0,0,0,100,144.9609985,-37.58269882,10892629.49
GRID802,1,0,1,0,7.1892,29.434,26.4151,0.1795,0,0,0,0,0,0,0,0,144.9940033,-37.58269882,10892347.78
GRID803,6,3,3,0,7.1892,29.434,26.4151,0.1795,0,0,0.0328,0,0,0,0,81.8182,145.0269928,-37.58269882,10892070.23
GRID804,6,0,6,0,7.1892,29.434,26.4151,0.1795,1.179,0,0.0606,0,0,0,0,72.5,145.0610046,-37.58269882,10891797.44
GRID805,24,7,17,1.7613,7.1892,29.434,26.4151,0.1795,31.2119,0.1021,0.4217,0,4,2,16,61.3333,145.0939941,-37.58269882,10891529.24
GRID806,9,3,6,0.5765,7.1892,29.434,26.4151,0.1795,54.0046,9.9968,0.511,0,0,2,28,48.1928,145.1269989,-37.58269882,10891265.58
GRID807,1,0,0,0,7.1892,29.434,26.4151,0.1795,0,1.2361,0.0598,0,0,0,0,0,145.1609955,-37.58269882,10891006.6
GRID808,3,1,2,0,7.1892,29.434,26.4151,0.1795,20.9685,0.0142,0.302,0,0,1,0,61.6667,145.1940002,-37.58269882,10890752.9
GRID809,4,3,1,0,7.1892,29.434,26.4151,0.1799,51.5041,0,0.3721,0,0,0,0,0,145.227005,-37.58269882,10890502.9
GRID810,1,0,1,0,7.2116,28.2657,34.596,0.3717,50.3872,0,0.3602,0,0,0,0,70,145.2610016,-37.58269882,10890258.35
GRID811,11,5,6,0,7.2442,26.7143,44.6759,0.3914,49.578,0,0.3863,0,0,0,0,80,145.2940063,-37.58269882,10890017.58
GRID812,0,0,0,0,7.2449,26.6238,45.0346,0.3914,6.0566,0,0.1174,0,0,0,0,0,145.3269958,-37.58269882,10889781.95
GRID813,0,0,0,0,7.2449,26.6238,45.0346,0.3914,13.0414,0,0.2007,0,0,0,0,80,145.3609924,-37.58269882,10889551.37
GRID814,2,1,0,0,7.2449,26.6238,45.0346,0.3914,82.9783,0.0145,0.237,0,0,0,0,80,145.3939972,-37.58269882,10889324.77
GRID815,8,6,2,0,7.2449,26.6238,45.0346,0.3914,8.5773,0,0.1982,0,0,1,0,70,145.427002,-37.58269882,10889103.31
GRID816,1,1,0,0,7.2449,26.6238,45.0346,0.3914,24.2459,0,0.2846,0,0,0,0,0,145.4609985,-37.58269882,10888886.38
GRID817,7,3,4,0,7.2449,26.6238,45.0346,0.3914,22.4956,9.9572,0.4267,0,0,0,1,86.6667,145.4940033,-37.58269882,10888673.79
GRID818,3,2,1,0,7.2313,26.6281,44.9649,0.3968,10.0563,54.9597,0.4766,0,0,0,0,0,145.5269928,-37.58280182,10739279.48
GRID819,0,0,0,0,6.4568,26.6876,45.1777,0.431,0,97.918,0.052,0,0,0,0,0,145.5599976,-37.58810043,4953363.57
GRID820,0,0,0,0,7.1381,26.6878,44.9871,0.4357,0,98.1123,0.0481,0,0,0,0,0,145.5939941,-37.58340073,9788636.959
GRID821,1,0,1,0,6.6039,26.6938,45.1754,0.3717,0,97.4302,0.069,0,0,0,0,0,145.6260071,-37.58750153,5739608.09
GRID822,0,0,0,0,3.4012,26.6667,44.4444,0,0,98.2995,0.0443,0,0,0,0,0,145.6470032,-37.59680176,236969.3995
GRID823,0,0,0,0,4.804,27.8689,37.8378,0,0,84.5736,0.221,0,0,0,0,0,145.7369995,-37.58309937,3450231.617
GRID824,0,0,0,0,5.6348,27.5,38.0952,0,0,98.9131,0.0308,0,0,0,0,0,145.7610016,-37.58470154,8881313.673
GRID825,0,0,0,0,5.8051,27.4096,37,0,0,99.8672,0.0052,0,0,0,0,0,145.7940063,-37.58269882,10855416.63
GRID826,0,0,0,0,5.8051,27.7108,37.3737,0,0,98.2978,0.0443,0,0,0,0,0,145.8269958,-37.58269882,10886806.27
GRID827,0,0,0,0,5.8051,27.7108,37.3737,0,0,3.7242,0.0818,0,0,0,0,0,145.8609924,-37.58269882,10886645.31
GRID828,3,0,3,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.8939972,-37.58269882,10886488.69
GRID829,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.927002,-37.58269882,10886337.14
GRID830,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.9609985,-37.58269882,10886189.21
GRID831,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.9940033,-37.58269882,10886047.33
GRID832,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.0269928,-37.58269882,10885909.03
GRID833,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.0610046,-37.58269882,10885775.8
GRID834,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.0939941,-37.58269882,10885647.67
GRID835,0,0,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,146.1269989,-37.58269882,10885523.36
GRID836,0,0,0,0,5.7268,27.6873,36.9565,0,0,0,0,0,0,0,0,0,146.1600037,-37.58229828,10076611.32
GRID837,0,0,0,0,4.1897,27.2727,35,0,0,0,0,0,0,0,0,0,146.1840057,-37.57590103,2153503.89
GRID838,1,1,0,0,6.0707,27.7136,42.1053,0,0,0,0.0718,0,0,0,0,0,144.5639954,-37.55970001,2864019.049
GRID839,0,0,0,0,6.1841,27.6289,42.2819,0,0,0,0,0,0,0,0,0,144.5930023,-37.56060028,3203669.13
GRID840,2,2,0,2.1509,5.8081,27.6276,38.6139,0,0,0,0.0964,0,0,0,0,0,144.6269989,-37.55360031,1790038.593
GRID841,2,1,1,2.5548,7.8108,27.6044,32.6586,0.2028,0,2.4228,0.1832,0,0,0,0,108.5714,144.6620026,-37.54759979,7528770.404
GRID842,12,8,4,1.543,8.1848,27.6352,32.6834,0.1396,45.1994,14.6342,0.5798,0,0,1,15,66.129,144.6940002,-37.54940033,10899859.01
GRID843,7,1,5,0,8.1848,27.6352,32.6834,0.1396,70.8172,0.0909,0.3359,0,0,1,21,58.0952,144.727005,-37.54940033,10899538.69
GRID844,2,0,2,0,8.1848,27.6352,32.6834,0.1396,5.045,0,0.1676,0,0,0,3,100,144.7610016,-37.54940033,10899224.06
GRID845,1,0,1,0,8.1848,27.6074,32.6834,0.1396,0,0,0,0,0,0,0,0,144.7940063,-37.54940033,10898913.58
GRID846,1,1,0,0,8.1814,27.784,32.9556,0.1404,0,0,0,0,0,0,0,0,144.8269958,-37.54940033,10898607.29
GRID847,4,1,3,0,8.1654,28.5755,33.9816,0.2177,0.0292,0,0.0181,0,0,1,0,68,144.8609924,-37.54940033,10898306.56
GRID848,3,1,2,0.7571,8.1611,28.7836,34.2738,0.2195,42.3484,0,0.3996,0,0,0,0,72,144.8939972,-37.54940033,10898010.12
GRID849,1,0,1,2.1909,8.1611,28.7836,34.2738,0.2195,23.7014,0,0.3155,0,1,0,0,88.5714,144.927002,-37.54940033,10897717.92
GRID850,1,0,0,4.0318,7.7998,28.9754,32.1908,0.3086,7.895,0,0.2164,0,0,0,0,85.3333,144.9609985,-37.54940033,10897354.65
GRID851,1,1,0,0,7.1899,29.4118,26.3441,0.1795,0,0,0.0179,0,0,0,0,0,144.9940033,-37.54940033,10897148.22
GRID852,5,2,3,2.0723,7.1899,29.4118,26.3441,0.1795,0,0,0.0363,0,0,0,0,0,145.0269928,-37.54940033,10896870.19
GRID853,3,2,1,0,7.1892,29.434,26.3441,0.1795,0,0,0.0175,0,0,0,0,0,145.0610046,-37.54940033,10896596.88
GRID854,4,2,2,1.6408,7.1892,29.434,26.3441,0.1795,0.9352,0,0.0859,0,0,0,6,0,145.0939941,-37.54940033,10896328.64
GRID855,3,1,2,0,7.1892,29.434,26.3441,0.1795,1.8278,56.8385,0.4162,0,0,0,2,77.5,145.1269989,-37.54940033,10896064.76
GRID856,2,1,1,0,7.1892,29.434,26.3441,0.1795,0,72.4463,0.3025,0,0,0,0,0,145.1609955,-37.54940033,10895805.28
GRID857,0,0,0,0,7.1892,29.434,26.3441,0.1795,0,1.9642,0.0497,0,0,0,0,0,145.1940002,-37.54940033,10895550.92
GRID858,0,0,0,0,7.1944,29.1291,28.1167,0.1808,0,0,0,0,0,0,0,0,145.227005,-37.54940033,10895301.05
GRID859,4,0,4,0,7.2421,26.8432,44.0559,0.3891,0,0,0,0,0,1,0,58.3333,145.2610016,-37.54940033,10895055.86
GRID860,0,0,0,0,7.2457,26.6762,44.9309,0.3914,0,0,0.0037,0,0,0,0,60,145.2940063,-37.54940033,10894814.98
GRID861,6,0,6,0,7.1585,26.6148,44.8363,0.4274,0,0,0.0492,0,0,0,0,62.6667,145.3269958,-37.54990005,9984559.421
GRID862,0,0,0,0,6.8638,26.6458,44.9324,0.2865,0.1418,0,0.022,0,0,0,0,0,145.3609924,-37.55400085,7440152.582
GRID863,1,1,0,-0.8903,7.0466,26.6319,45.0704,0.4773,26.8133,0,0.2988,0,0,0,0,80,145.3950043,-37.55070114,8931354.397
GRID864,2,1,1,0,7.1755,26.6259,45.0495,0.4202,6.9768,0,0.1704,0,0,0,0,80,145.427002,-37.54970169,10160102.34
GRID865,0,0,0,0,6.4907,26.7071,44.6078,0.4167,0,0,0,0,0,0,0,0,145.4600067,-37.55699921,5118632.487
GRID866,3,3,0,0,5.5722,26.616,45.679,0,0,6.853,0.1284,0,0,0,0,0,145.4929962,-37.56119919,2043576.749
GRID867,0,0,0,0,5.5175,26.506,45.4545,0,0,19.6448,0.2546,0,0,0,0,0,145.526001,-37.56190109,1935228.855
GRID868,0,0,0,0,1.3863,25,100,0,0,13.471,0.2031,0,0,0,0,0,145.5919952,-37.56560135,33885.3887
GRID869,0,0,0,0,3.5264,26.4706,40,0,0,82.6118,0.2374,0,0,0,0,0,145.7969971,-37.56330109,710951.0731
GRID870,0,0,0,-1.9487,5.8435,27.5362,38.4615,0,0,93.5604,0.1228,0,0,0,0,0,145.8280029,-37.54970169,9356235.3
GRID871,3,2,1,0,5.8051,27.7108,37.3737,0,0,48.4804,0.356,0,0,0,0,0,145.8609924,-37.54940033,10891438.28
GRID872,5,5,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.8939972,-37.54940033,10891281.23
GRID873,1,1,0,0,5.8051,27.7108,37.3737,0,0,0,0,0,0,0,0,0,145.927002,-37.54940033,10891129.57
GRID874,0,0,0,0,6.993,23.9669,52.0661,0.7692,0,0,0,0,0,0,0,0,145.9609985,-37.54940033,10890981.59
GRID875,1,0,1,0,7.6769,23.2159,55.102,1.0568,0,0,0,0,0,0,0,0,145.9940033,-37.54940033,10890839.42
GRID876,0,0,0,0,8.058,22.982,56.1404,1.1818,0,0,0,0,0,0,0,0,146.0269928,-37.54940033,10890700.9
GRID877,1,1,0,0,8.3255,22.8682,56.4789,1.188,0,0,0,0,0,0,0,0,146.0610046,-37.54940033,10890567.37
GRID878,0,0,0,0,8.5301,22.7838,56.8156,1.1986,0,0,0,0,0,0,0,0,146.0939941,-37.54940033,10890439.11
GRID879,1,1,0,0,8.6947,22.7265,57.0388,1.2124,0,0,0,0,0,0,0,0,146.1269989,-37.54940033,10890314.7
GRID880,0,0,0,0,8.8317,22.6928,57.167,1.2273,0,0,0,0,0,0,0,0,146.1609955,-37.54940033,10890194.78
GRID881,0,0,0,0,7.3271,22.7482,57.1429,1.1429,0,0,0,0,0,0,0,0,146.1820068,-37.54930115,2709785.696
GRID882,0,0,0,0,6.8701,27.622,32.872,0.2597,0,0,0.0723,0,0,0,0,0,144.6390076,-37.51689911,2926361.624
GRID883,0,0,0,0,8.1803,27.619,32.7425,0.1402,0,0,0.0421,0,0,0,0,0,144.6609955,-37.51610184,10848890.5
GRID884,3,2,1,0,8.1851,27.6275,32.6834,0.1395,1.6377,0,0.0644,0,0,1,0,0,144.6940002,-37.51599884,10902424.12
GRID885,0,0,0,0,8.1854,27.6198,32.6531,0.1395,20.6975,0,0.262,0,0,0,0,60,144.727005,-37.51599884,10904338.4
GRID886,0,0,0,0,8.1377,27.6235,32.7167,0.1463,0,0,0.053,0,0,0,0,100,144.7599945,-37.51639938,10396218.1
GRID887,2,0,2,-1.9011,7.9817,27.6051,32.6507,0.1709,0,0,0,0,0,0,0,0,144.7940063,-37.51860046,8895295.343
GRID888,1,1,0,0,7.7993,27.6343,32.7422,0.2051,0,0,0,0,0,0,0,0,144.8269958,-37.52080154,7413303.622
GRID889,0,0,0,0,7.7385,28.1481,33.3333,0.2205,0,0,0,0,0,0,0,0,144.8609924,-37.51940155,7054561.615
GRID890,0,0,0,0,7.9745,28.8025,34.2569,0.2646,0,0.6392,0.0199,0,0,0,0,0,144.8939972,-37.51839828,9042055.303
GRID891,0,0,0,0,7.8391,28.8022,34.2939,0.2018,0,50.6736,0.3562,0,0,0,0,0,144.927002,-37.52009964,7897915.665
GRID892,10,4,6,0,7.6343,28.7718,34.1593,0.2472,8.5349,0,0.2468,0,0,0,0,95.5556,144.9609985,-37.52199936,6697651.521
GRID893,0,0,0,0,6.8309,29.3737,26.2548,0.2571,3.6621,0,0.1013,0,0,0,0,0,144.9949951,-37.51800156,7613696.625
GRID894,3,1,2,0,7.1899,29.4118,26.3441,0.1795,26.2003,0,0.3256,0,0,0,0,0,145.0269928,-37.51599884,10901666.69
GRID895,1,0,1,-1.3367,7.1899,29.4118,26.3441,0.1795,49.1266,0,0.374,0,0,0,0,70,145.0610046,-37.51599884,10901392.86
GRID896,1,1,0,0.8741,7.1899,29.4118,26.3441,0.1795,78.6121,0,0.2927,0,0,0,0,59.2308,145.0939941,-37.51599884,10901124.11
GRID897,13,5,8,2.5839,7.1899,29.4118,26.3441,0.1795,28.6484,15.2624,0.6678,0,1,3,21,56.3529,145.1269989,-37.51599884,10900858.98
GRID898,3,1,2,0,7.1899,29.4118,26.3441,0.1795,33.8119,61.035,0.424,0,0,0,1,50,145.1609955,-37.51599884,10900599.92
GRID899,1,0,1,0,7.1899,29.4118,26.3441,0.1795,0,19.6359,0.2545,0,0,0,0,0,145.1940002,-37.51599884,10900345.18
GRID900,0,0,0,0,7.1892,29.434,26.4151,0.1795,0,0,0,0,0,0,0,0,145.227005,-37.51599884,10890719.49
GRID901,0,0,0,0,7.0951,28.1095,35.3107,0.4211,0,0,0,0,0,0,0,60,145.2610016,-37.51679993,9663368.755
GRID902,0,0,0,0,6.9939,26.6972,44.2136,0.5013,0,0,0,0,0,0,0,0,145.2929993,-37.51729965,8484704.204
GRID903,0,0,0,0,5.037,26.6234,43.75,0,0,0,0,0,0,0,0,0,145.3200073,-37.52629852,1198535.828
GRID904,0,0,0,0,4.1271,27.4194,47.3684,0,0,0,0.0008,0,0,0,0,0,145.4069977,-37.52959824,481663.1885
GRID905,3,0,3,-5.2433,4.3694,26.5823,45.8333,0,0,0,0.1383,0,0,0,0,93.3333,145.4210052,-37.52959824,614314.5251
GRID906,0,0,0,0,2.7081,26.6667,40,0,0,70.2467,0.3128,0,0,0,0,0,145.8300018,-37.53160095,252773.5359
GRID907,0,0,0,0,3.2958,25.9259,37.5,0,0,54.5532,0.3541,0,0,0,0,0,145.8609924,-37.53020096,847933.3957
GRID908,0,0,0,0,3.4012,26.6667,44.4444,0,0,0,0.0008,0,0,0,0,0,145.8899994,-37.52959824,721138.637
GRID909,0,0,0,0,3.434,25.8065,44.4444,0,0,0,0,0,0,0,0,0,145.927002,-37.53229904,260854.2499
GRID910,0,0,0,0,7.8559,22.4719,57.971,1.3575,0,0,0,0,0,0,0,0,145.9609985,-37.53229904,277799.8522
GRID911,0,0,0,0,8.0294,22.4756,58.0131,1.3308,0,0,0,0,0,0,0,0,145.9940033,-37.53219986,296284.5543
GRID912,0,0,0,0,8.0523,22.4769,57.967,1.3011,0,0,0,0,0,0,0,0,146.0269928,-37.53219986,304634.9016
GRID913,0,0,0,0,8.0437,22.447,57.9871,1.3121,0,0,0,0,0,0,0,0,146.0610046,-37.53219986,304247.6935
GRID914,0,0,0,0,8.0449,22.4503,58.0258,1.3096,0,0,0,0,0,0,0,0,146.0939941,-37.53219986,303861.2007
GRID915,0,0,0,0,8.0536,22.4483,58.0055,1.2987,0,0,0,0,0,0,0,0,146.1269989,-37.53219986,303858.2158
GRID916,0,0,0,0,8.0564,22.4477,57.9763,1.2951,0,0,0,0,0,0,0,0,146.1609955,-37.53219986,304459.0103
GRID917,0,0,0,0,5.9506,22.3958,57.8947,1.5152,0,0,0,0,0,0,0,0,146.1799927,-37.53229904,37005.7765
GRID918,0,0,0,0,3.5553,28.5714,30,0,0,0,0,0,0,0,0,0,144.6419983,-37.49779892,105315.2005
GRID919,0,0,0,0,4.6444,27.8846,32.2581,0,0,0,0,0,0,0,0,0,144.6560059,-37.49760056,316346.0224
GRID920,0,0,0,0,7.0682,27.598,32.6705,0.2132,0,0,0.0226,0,0,0,0,0,144.6959991,-37.49160004,3567127.431
GRID921,0,0,0,0,7.1483,27.5943,32.7225,0.1969,0,0,0,0,0,0,0,0,144.7259979,-37.49200058,3865302.266
GRID922,0,0,0,0,5.247,27.3684,33.3333,0,0,0,0,0,0,0,0,0,144.7510071,-37.49629974,576076.1705
GRID923,0,0,0,0,6.5695,29.453,26,0.3344,0,0,0.0275,0,0,0,0,0,145,-37.48350143,5858032.921
GRID924,3,3,0,0,7.1907,29.3896,26.3441,0.1795,47.4864,0,0.3792,0,0,0,0,0,145.0269928,-37.48270035,10906459.25
GRID925,4,3,1,1.5508,7.1907,29.3896,26.3441,0.1795,23.7565,0,0.2817,0,0,0,0,70,145.0610046,-37.48270035,10906185.24
GRID926,5,1,3,1.7903,7.1907,29.3896,26.3441,0.1795,71.0315,0,0.3332,0,0,0,0,85.7143,145.0939941,-37.48270035,10905916.15
GRID927,0,0,0,0,7.1907,29.3896,26.3441,0.1795,0.363,0.5723,0.0304,0,0,0,0,0,145.1269989,-37.48270035,10905651.44
GRID928,4,1,3,0,7.1907,29.3896,26.3441,0.1795,16.4635,39.7796,0.5518,0,0,0,4,72.381,145.1609955,-37.48270035,10905391.39
GRID929,5,2,1,0,7.1907,29.3896,26.3441,0.1795,2.628,63.9435,0.4138,0,0,0,6,76,145.1940002,-37.48270035,10905125.17
GRID930,5,1,3,0,6.9217,29.3886,26.6667,0.2353,0.5785,44.9597,0.4048,0,0,0,2,78.1818,145.2259979,-37.48419952,8325772.47
GRID931,0,0,0,0,4.8598,29.4574,27.7778,0,0,0,0,0,0,0,0,0,145.2559967,-37.49449921,1063384.619
GRID932,0,0,0,0,3.6109,27.027,36.3636,0,0,0,0,0,0,0,0,0,145.2850037,-37.49819946,294687.6348
GRID933,0,0,0,0,5.8051,29.5181,25.8065,0,0,0,0.0568,0,0,0,0,0,145.0039978,-37.45470047,2730275.053
GRID934,2,1,1,0,6.7202,29.4331,26.2931,0.2874,37.7986,0,0.3637,0,0,0,0,0,145.0269928,-37.4552002,6817383.672
GRID935,1,0,1,0,6.6859,29.3383,26.3393,0.2976,64.9655,0,0.3471,0,0,0,0,0,145.0610046,-37.45389938,6583935.011
GRID936,1,0,1,0,7.1686,29.4299,26.3736,0.1835,9.1113,0.405,0.4159,0,0,0,0,0,145.0939941,-37.44950104,10671263.56
GRID937,0,0,0,0,7.1907,29.3896,26.3441,0.1792,0,30.1282,0.5512,0,0,0,0,0,145.1269989,-37.44940186,10910439.65
GRID938,0,0,0,0,7.1907,29.3896,26.3441,0.1792,0,100,0,0,0,0,0,0,145.1609955,-37.44940186,10910179.12
GRID939,0,0,0,0,6.8002,29.3987,26.2948,0.2653,0,99.3863,0.0192,0,0,0,0,0,145.1920013,-37.45130157,7383032.614
GRID940,0,0,0,0,3.4965,30.303,33.3333,0,0,81.2812,0.2478,0,0,0,0,0,145.2140045,-37.46350098,268106.9189
GRID941,0,0,0,0,6.3333,29.3073,25.9494,0,0,0,0.0259,0,0,0,0,0,145.0970001,-37.42079926,4628596.704
GRID942,0,0,0,0,6.4983,29.3675,26.8817,0.3584,0,4.4728,0.1126,0,0,0,0,0,145.125,-37.4197998,5462123.79
GRID943,0,0,0,0,6.3835,29.3919,26.506,0.4032,0,99.9675,0.0015,0,0,0,0,0,145.1609955,-37.42359924,4864451.342
GRID944,0,0,0,0,4.7362,28.9474,25,0,0,99.3134,0.0211,0,0,0,0,0,145.1829987,-37.42750168,937658.4923
