Zones,Total,Ser,Minor,VKT,LN_PO,P_YP,INC1,Cycle,Res,Coma,Index,Trams,T_Sig,Schol,Bus,Speed,Longi,Latit,AREA
GRID633,0,0,0,0,5.8021,27.7946,37.3737,0,0,0,0,0,0,0,0,0,145.9609985,-37.7159996,10866983.17
GRID634,0,0,0,0,5.8021,27.7946,37.3737,0,0,0,0,0,0,0,0,0,145.9940033,-37.7159996,10866841.38
GRID635,0,0,0,0,5.8021,27.7946,37.3737,0,0,0,0,0,0,0,0,0,146.0269928,-37.7159996,10866704.33
GRID636,0,0,0,0,5.8021,27.4924,37.3737,0,0,0,0,0,0,0,0,0,146.0610046,-37.7159996,10866571.44
GRID637,0,0,0,0,5.8021,27.4924,37.3737,0,0,0,0,0,0,0,0,0,146.0939941,-37.7159996,10866443.81
GRID638,0,0,0,0,5.7398,27.6527,36.5591,0,0,0,0,0,0,0,0,0,146.1269989,-37.71640015,10204051.72
GRID639,0,0,0,0,4.0775,27.1186,38.8889,0,0,0,0,0,0,0,0,0,146.1499939,-37.72290039,1931311.347
GRID640,9,4,5,4.7205,7.2485,27.6671,42.0323,0.1901,13.1596,0.9013,0.2841,0,0,1,1,70.4167,144.529007,-37.68270111,9295388.412
GRID641,98,27,69,4.5,7.4061,27.6428,42.0118,0.3247,79.9531,3.7999,0.4166,0,10,7,110,54.0972,144.5610046,-37.68270111,10881938.96
GRID642,82,27,52,4.5886,7.4061,27.6428,42.0118,0.3247,47.6975,2.2729,0.7727,0,6,4,55,56.5,144.5939941,-37.68270111,10881602.38
GRID643,9,6,1,0,7.4061,27.6428,42.0118,0.3247,1.854,0,0.1378,0,0,0,0,74.375,144.6269989,-37.68270111,10881269.8
GRID644,7,4,3,2.5158,7.4073,27.6699,42.0118,0.3241,0,0,0.0442,0,0,0,0,82.7273,144.6609955,-37.68270111,10880942.76
GRID645,8,1,6,3.8828,8.5732,28.6687,32.8532,0.142,0,0,0.0434,0,0,0,0,82,144.6940002,-37.68270111,10880619.89
GRID646,10,2,8,0,9.3365,28.9202,30.2961,0.1521,28.8626,1.0052,0.3992,0,1,0,13,59.6774,144.727005,-37.68270111,10880297.21
GRID647,68,22,44,5.3771,9.3052,28.9222,30.3596,0.1346,43.2461,0.8755,0.6385,0,11,3,54,65.8462,144.7610016,-37.68270111,10879981.94
GRID648,27,6,20,1.9254,9.1024,28.9072,30.7756,0.1655,24.4641,0.021,0.4261,0,7,0,24,72.4,144.7940063,-37.68270111,10879679.45
GRID649,6,3,3,0,8.3701,28.823,33.2198,0.2349,24.6197,0,0.5332,0,0,0,0,70,144.8269958,-37.68270111,10879374.77
GRID650,68,17,49,3.9772,8.1594,28.7757,34.3455,0.2198,6.0295,13.2721,0.5672,0,8,0,4,70.4167,144.8609924,-37.68270111,10879075.62
GRID651,105,33,70,5.8006,8.7526,27.3747,42.8972,0.8841,60.1305,14.4282,0.648,0,20,5,93,51.8182,144.8939972,-37.68270111,10878780.65
GRID652,200,54,143,4.9475,9.6017,29.094,55.3061,0.5522,50.5254,20.489,0.7056,0,33,14,127,47.3894,144.927002,-37.68270111,10878490.72
GRID653,192,63,129,6.6369,9.646,27.5226,55.3751,0.4161,26.955,19.3659,0.8449,0,22,3,59,55.1948,144.9609985,-37.68270111,10878203.39
GRID654,135,43,87,5.734,9.8507,22.1812,53.5778,0.4419,53.5418,5.7369,0.7337,0,16,6,82,55.4622,144.9940033,-37.68270111,10877948.82
GRID655,176,45,130,5.3648,9.9087,23.8162,42.845,0.5853,53.5315,3.7795,0.6495,0,35,11,107,50.9346,145.0269928,-37.68270111,10877645.55
GRID656,147,45,99,5.7307,9.8991,23.7634,38.2011,0.5184,69.7508,3.4544,0.5898,11,27,6,95,55.5039,145.0610046,-37.68270111,10877357.84
GRID657,29,5,23,4.3937,9.2672,24.2135,36.6731,0.5049,39.564,1.9658,0.5731,0,2,1,32,56.087,145.0939941,-37.68270111,10877108.8
GRID658,49,9,39,4.1982,8.7218,25.5746,28.16,0.6105,88.4015,1.4607,0.2759,0,6,7,58,54.5455,145.1269989,-37.68270111,10876846.04
GRID659,34,11,22,2.4825,8.5287,25.8007,28.0234,0.5558,82.5824,2.0744,0.3517,0,6,4,25,51.2857,145.1609955,-37.68270111,10876587.6
GRID660,14,4,10,1.2181,8.1542,26.3657,27.7512,0.5402,92.0829,3.292,0.1996,0,0,1,0,53.6842,145.1940002,-37.68270111,10876335.24
GRID661,11,4,6,2.3234,7.1877,29.4029,26.1456,0.1799,95.5471,0.8692,0.1241,0,0,1,4,61.6216,145.227005,-37.68270111,10876086.48
GRID662,2,2,0,1.3415,7.1877,29.4029,26.1456,0.1799,57.097,2.0877,0.416,0,0,0,0,62.8571,145.2610016,-37.68270111,10875842.82
