Zone,Chd_09,Chd_10,Chd_11,Chd_12,Chd_13,Chd_T,Old_09,Old_10,Old_11,Old_12,Old_13,Old_T,Bik_09,Bik_10,Bik_11,Bik_12,Bik_13,Bik_T,BIKE_S,BIKE_O,Fat_09,Fat_10,Fat_11,Fat_12,Fat_13,Fat_T,Mbi_09,Mbi_10,Mbi_11,Mbi_12,Mbi_13,Mbi_T,Nit_09,Nit_10,Nit_11,Nit_12,Nit_13,Nit_T,OIn_09,OIn_10,OIn_11,OIn_12,OIn_13,Oln_T,Ped_09,Ped_10,Ped_11,Ped_12,Ped_13,Ped_T,PED_S,PED_O,Ser_09,Ser_10,Ser_11,Ser_12,Ser_13,Ser_T,Tot_09,Tot_10,Tot_11,Tot_12,Tot_13,Tot_T,Tru_09,Tru_10,Tru_11,Tru_12,Tru_13,Tru_T,WeD_09,WeD_10,WeD_11,WeD_12,WeD_13,WeD_T,WeE_09,WeE_10,WeE_11,WeE_12,WeE_13,WeE_T,VKT_0,LVKT_0,VKT_1,LVKT_1,VKT_2,LVKT_2,VKT_3,LVKT_3,VKT_A,LVKT_A,PY_Pop,PYA_P,PA_PoP,PO_Pop,T_Pop,LNTPO,Ratio,P_Den,LPDen,PHH_1,PHH_2,PNo_Mo,PMot_1,PMot_2,Un_Rate,BusN,P_Bus,CarN,P_Car,CycN,LNCyc,P_Cyc,WalkN,PWalk,LNWak,LNPVK,P_mode,P_Agri,P_Ind,P_Com,P_Ser,P_Res,P_Agr,P_Park,P_Wata,P_Edu,P_Hosp,P_Tran,P_Indu,P_Coma,Index,P_Sped,T_Sig,B_Stop,T_Stop,Train,Schols,Long,Lat
212051323,1,1,0,3,1,4,11,5,6,7,10,18,0,0,2,2,4,4,0,4,2,0,0,1,1,1,1,3,2,1,0,6,6,5,6,5,4,16,12,15,11,12,18,38,1,0,3,3,2,6,2,3,10,4,7,6,3,17,24,19,19,19,22,57,0,0,0,0,0,0,19,13,12,13,17,38,5,6,7,6,5,19,127.96,4.85,130.51,4.87,134.93,4.9,140.42,4.94,131.13,4.88,21.94,19.53,38.96,19.58,14916,9.610189741,1.06,2300.38,7.740829606,32.44,56.04,4.42,77.03,16.28,5.5,87,1.25,4502,64.83,58,4.060443011,1.91,82,1.180875576,4.406719247,46.89772594,6,0.17,13.87,19.85,60.6,83.22,0,7.93,0,6.61,0,0.52,0,1.73,0.06,49,15,50,0,2,5,145.1302333,-37.86646065
212051324,3,2,0,1,0,3,17,12,14,10,11,36,1,4,4,0,0,8,2,7,0,0,0,1,0,1,4,2,1,3,4,6,9,6,11,5,4,22,28,21,31,24,26,76,9,4,1,4,5,9,4,6,14,10,9,8,11,27,42,31,41,32,37,104,3,0,5,3,2,8,38,25,35,27,33,87,4,6,6,5,4,17,327.31,5.79,350.99,5.86,359,5.88,383,5.95,345.77,5.85,21.05,21.18,38.49,19.28,17162,9.750452916,1.06,1972.47,7.587041843,33.31,55.22,5.57,76.45,15.86,5.19,120,1.5,5279,65.96,71,4.262679877,2.41,132,1.649381482,4.882801923,57.04014956,5.31,0.22,15.63,19.78,59.04,84.42,0,13.48,0,1.18,0,0,0.01,0.4,0.05,55.4,25,71,0,0,5,145.1272031,-37.88726417
212051325,0,2,2,0,3,4,7,12,14,6,21,32,1,1,0,3,4,4,3,3,0,0,0,0,1,0,11,5,4,3,8,12,8,15,10,13,11,38,28,33,29,31,36,93,2,3,5,4,2,12,3,11,19,18,18,12,22,48,47,51,47,43,59,141,2,1,2,1,4,4,39,41,29,34,47,104,8,10,18,9,12,37,264.8,5.58,282.62,5.64,322.51,5.78,337.39,5.82,289.98,5.67,20.74,24.1,39.26,15.9,17647,9.778321076,1.02,1645.86,7.406018323,31.81,55.93,4.54,71.5,20.77,4.91,126,1.46,6410,74.43,29,3.36729583,1.58,114,1.323734324,4.736198448,55.4430805,5.9,0.17,20.52,22.31,49.77,76.48,0,4.6,0,2.72,0,5.64,0,10.56,0.08,63.3,23,110,0,0,5,145.1758822,-37.92568426
212051326,2,1,0,0,1,1,23,22,22,25,17,69,5,6,7,11,6,24,13,11,2,0,0,0,1,0,7,3,8,11,7,22,15,15,17,16,17,48,38,42,51,58,43,151,11,10,10,11,6,31,9,24,28,20,18,22,13,60,68,62,71,80,57,213,3,2,2,2,2,6,56,52,59,60,45,171,12,10,12,20,12,42,125.86,4.84,129.73,4.87,132.95,4.89,136.65,4.92,129.51,4.86,20.72,29.18,35.86,14.24,20233,9.915070214,1.01,1989.56,7.595668788,33.25,54.78,10.08,73.05,13.89,5.64,235,2.42,6042,62.1,125,4.828313737,3.54,240,2.466851681,5.480638923,48.18724124,6.36,0.15,16.8,20.47,56.09,56.42,0,26.66,0,0.99,0,0,0.15,1.13,0.2,53.5,26,146,0,2,7,145.1012076,-37.90848316
212051327,2,0,0,1,1,1,19,9,11,13,9,33,1,2,3,5,4,10,7,3,1,1,1,2,0,4,6,2,1,5,4,8,11,8,6,14,6,28,39,23,27,32,18,82,3,2,4,2,1,8,2,6,14,5,7,14,13,26,54,29,34,49,31,112,0,2,1,2,3,5,38,20,27,35,24,82,16,9,7,14,7,30,210.71,5.35,234.36,5.46,245.99,5.51,257.04,5.55,230.35,5.44,20.4,18.25,43.07,18.29,19105,9.85770536,1.03,1828.08,7.511021515,28.11,58.63,3.52,69.72,24.69,4.28,85,0.91,6785,72.75,40,3.688879454,1.16,73,0.782757881,4.290459441,53.62591716,5.89,0.23,17.36,21.2,55.12,90.25,0,5.12,0,3.78,0,0,0,0.86,0.03,50.6,8,106,0,0,8,145.1868828,-37.90758628
213011328,0,0,0,0,0,0,2,0,3,7,8,10,1,1,1,0,0,2,1,2,1,0,0,0,1,0,3,1,1,0,3,2,7,6,6,7,5,19,6,7,10,15,24,32,1,2,1,1,1,4,2,2,11,6,6,6,8,18,18,13,16,21,33,50,0,1,0,1,3,2,10,10,10,15,27,35,8,3,6,6,6,15,253.65,5.54,266.4,5.59,276.73,5.62,289.95,5.67,265.6,5.58,20.12,32.79,34.02,13.07,7162,8.876544551,0.92,1560.93,7.353037076,47.93,38.63,16.56,67.8,10.23,10.36,52,1.78,1786,61.29,24,3.17805383,2.09,44,1.509951956,3.784189634,49.53111859,5.66,0.1,20.37,22.64,50.09,37.87,0,14,0,0.47,0,4.59,0.39,3.82,0.38,53.1,14,31,0,1,4,144.8096006,-37.77615025
213011329,0,1,0,0,0,1,6,4,3,5,3,12,0,1,1,1,1,3,0,3,0,0,0,0,0,0,3,3,1,2,0,6,7,5,3,3,5,11,16,10,7,9,13,26,2,1,2,0,2,3,2,2,8,5,6,4,3,15,24,15,13,13,16,41,0,0,0,0,0,0,13,9,9,10,13,28,11,6,4,3,3,13,103.11,4.64,111.82,4.72,115.81,4.75,118.78,4.78,110.25,4.7,30.9,26.97,38.78,3.35,8839,9.086929027,0.99,2006.59,7.604192043,24.73,62.74,2.6,69.1,25.71,7.33,15,0.37,2997,74.59,4,1.386294361,0.83,32,0.796416127,3.465735903,42.70856643,5.35,0.4,25.76,23.92,42.58,61.01,0,21.96,0,6.84,0.43,0,0.05,4.65,0.17,52.5,5,16,0,0,1,144.7878059,-37.75931285
213011330,3,2,2,0,0,4,6,10,10,9,16,29,0,2,1,4,1,7,4,3,1,1,1,0,0,2,7,8,11,7,8,26,12,15,14,14,15,43,32,26,34,38,42,98,6,6,4,5,4,15,6,8,17,20,24,24,21,68,50,47,59,62,63,168,3,3,8,6,5,17,45,41,41,53,52,135,5,6,18,9,11,33,151.67,5.02,169.71,5.13,174.86,5.16,182.63,5.21,165.41,5.11,26.71,32.23,34.41,6.66,22193,10.0075322,0.98,1040.16,6.947129826,33.85,53.47,6.16,73,16.8,8.23,107,1.12,7155,74.58,29,3.36729583,0.98,73,0.760892224,4.290459441,51.13848954,5.82,0.33,23.11,24.73,44.3,5.42,71.04,2.7,0,0.11,0,0.43,0.2,0.06,0.58,59.1,24,79,0,1,5,144.7742342,-37.78738833
213011331,2,1,1,2,0,4,0,0,0,3,2,3,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,2,2,3,4,4,1,1,1,1,3,1,3,4,7,14,14,1,0,1,3,2,4,1,1,3,1,2,2,3,5,4,4,7,9,17,20,0,1,0,0,0,1,3,1,4,6,9,11,1,3,3,3,8,9,91.63,4.52,108.98,4.69,113.05,4.73,117.06,4.76,104.56,4.65,28.94,24.35,39.77,6.94,8443,9.041092975,1.05,2408.5,7.786759426,35.87,51.1,4.79,71.74,20.21,7.85,20,0.55,2764,75.68,6,1.791759469,0.45,12,0.328587076,2.48490665,42.04108233,4.62,0.19,27,25.47,39.18,73.9,0,20.74,0,4.77,0,0,0,0.59,0.1,55.6,5,30,0,0,2,144.7773199,-37.71980315
213011332,1,2,0,0,0,2,6,6,1,2,8,9,2,3,0,1,1,4,2,2,0,0,0,2,0,2,2,5,2,2,2,9,4,8,3,4,5,15,11,15,6,9,18,30,1,3,2,0,3,5,4,1,6,7,6,6,9,19,17,22,12,16,27,50,0,0,1,0,1,1,15,15,11,12,23,38,2,7,1,4,4,12,107.19,4.67,111.12,4.71,115.08,4.75,118.38,4.77,111.13,4.71,22.7,24.66,42.17,10.47,13469,9.508146028,1.02,1758.4,7.472159584,34.08,52.94,4.01,65.81,27.25,6.42,27,0.42,4869,76.63,6,1.791759469,0.44,24,0.377714825,3.17805383,44.78336779,3.77,0.11,22.12,25.63,45.22,86.61,0,5.28,0,3.87,0,1.52,0,2.72,0.04,56.9,12,65,0,0,5,144.8129094,-37.72628843
