Zones,T_Sig,T_Stop,Schols,B_Stop,P_Sped,LN_AVKT,Total,Fatal,Serio,Minor,S1,S2,S3S,S4S,X2,X3,X4,X5,X5A,X5B,X6,X7,X8,X9,LNPOP,Y_POP,HHD1,HHD2,Cyc,X12,X13,X14,X15,Unemp,X17,X18,X20,E1,E2,E3,E4,E5,L2,L3,L4,L5,L6,L7,L8,Resi,Coma,Index,L11,VKT_10,LN_VKT_10,VKT_11,LN_VKT_11,VKT_12,LN_VKT_12,VKT_13,LN_VKT_13,AVKT ,TPOP,Long,Lat
2137006,0,0,0,3,50,0,1,0,0,1,61.53846154,20.192,33.173,28.365,28.31858,37.61062,3.24484,1.128526646,47.05015,52.94985,678,3829.41835,30,1404,6.520621128,30.82596,28.761,59.7345,0.80429,3,3.0837,77.97357,15.85903,7.07733,3.21716,78.55228,4.02145,31.97832,19.7832,15.17615,27.37127,2.43902,0,0,0,0,0,0,0,100,0,0,0.17731,0,0,0,0,0,0,0,0,0,679,145.1899736,-38.08950893
2137007,0,0,1,3,43.33,0,3,0,1,2,56.66666667,14.444,39.259,17.407,34.61092,32.17189,3.36818,1.12039312,47.15447,52.84553,861,2576.61508,30,1247,6.760414691,29.84901,29.545,63.961,1.52505,2.6,0.97087,83.49515,14.23948,5.66038,2.17865,80.17429,4.13943,27.78993,16.84902,16.84902,27.3523,7.87746,0,0,0,0,0,0,0,100,0,0,0.33494,0,0,0,0,0,0,0,0,0,863,145.1931379,-38.09345702
2137008,1,0,0,2,70,2.706271085,6,0,2,4,45.85987261,15.924,25.478,20.382,26.00619,28.63777,26.62539,1.311827957,43.49845,56.50155,646,2549.31417,41,807,6.469250317,18.73065,54.225,35.2113,2.27273,1.9,8.09859,79.57746,9.85915,13.05147,0,81.43939,3.40909,27.09924,20.61069,14.50382,28.62595,6.87023,0,0,0,0,0,0,0,81.56782,18.43219,0.06201,0.25301,13.56187549,2.607262584,15.83266323,2.762075099,15.52547224,2.742482046,15.7526988,2.757011703,14.97333699,645,145.1882186,-38.09961473
2137009,0,0,0,1,0,0,0,0,0,0,65.14285714,18.857,37.143,28,24.76008,35.12476,4.60653,0.992366412,50.09597,49.90403,521,3592.35851,30,1477,6.257667588,35.50864,19.136,66.6667,0,3.2,0,79.24528,20.75472,5.92194,0,80.07813,1.17188,36.96498,13.22957,15.95331,30.7393,3.11284,0,0,0,0,0,0,0,100,0,0,0.14531,0,0,0,0,0,0,0,0,0,522,145.1952054,-38.09668683
2137010,0,0,0,3,65,0,0,0,0,0,62.58992806,23.741,35.971,26.619,23.15036,39.14081,4.05728,1.131979695,46.77804,53.22196,419,1949.15409,31,1346,6.040254711,33.65155,34.074,53.3333,0,3.1,3.67647,80.14706,13.97059,11.93029,1.95122,82.43902,3.90244,28.78049,16.58537,24.39024,22.43902,4.87805,0,0,0,0,0,0,0,100,0,0,0.21548,0,0,0,0,0,0,0,0,0,420,145.1947963,-38.10009701
2137011,1,0,0,0,56.67,2.755882706,7,0,0,7,46.66666667,28.333,29.167,17.5,27.65531,37.07415,16.43287,0.960784314,51.1022,48.8978,499,1699.62792,39,1062,6.214608098,18.83768,43.784,46.4865,1.2766,2.4,9.72973,70.27027,15.67568,7.85597,1.70213,72.34043,4.25532,28.81356,21.18644,17.79661,19.91525,9.74576,0,0,0,0,0,0,0,100,0,0,0.29418,18.52292491,2.919009149,9.714045188,2.273572796,18.96780218,2.942742919,19.92987827,2.992220026,15.73492409,500,145.17868,-38.09882666
2137012,0,0,0,3,65,0,1,0,0,1,52.23880597,17.91,37.313,14.925,19.18239,34.27673,29.87421,1.313868613,43.71069,56.28931,318,1167.84579,48,562,5.758901774,16.66667,58.788,28.4848,3.22581,1.9,28.65854,53.04878,10.97561,13.30869,0,83.06452,0,34.375,19.53125,15.625,25.78125,0,0,0,0,0,0,0,0,100,0,0,0.27144,0,0,0,0,0,0,0,0,0,317,145.180885,-38.09632366
2137013,0,0,0,8,67.5,2.436359008,5,0,3,2,50,13.866,31.933,18.067,25.09317,30.93168,20.62112,1.124010554,47.08075,52.91925,805,481.1267,38,1338,6.690842277,23.35404,31.33,58.3691,1.19403,2.7,4.70085,81.19658,11.96581,12.2449,3.28358,78.50746,2.98507,33.13253,16.56627,18.07229,22.89157,5.12048,20.47229,62.36528,0,0,0,0,0,17.16243,0,0.81192,1.67316,11.68856736,2.458611216,10.36888633,2.338809623,12.23657665,2.504429553,12.57126218,2.53141343,11.43134345,805,145.1925628,-38.08093386
2137014,0,0,0,1,0,0,1,0,0,1,54.43037975,18.987,31.013,23.418,24.0367,38.7156,7.88991,1,49.72477,50.27523,545,3176.45948,33,1256,6.302618976,29.3578,35.676,54.0541,0,2.8,5.40541,71.89189,19.45946,7.75988,0,79.16667,3.0303,30.18868,16.98113,19.62264,23.77358,5.66038,0,3.02658,0,0,0,0,0,96.97342,0,0.00879,0.17189,0,0,0,0,0,0,0,0,0,546,145.1851962,-38.10952341
2137015,0,0,0,0,0,0,0,0,0,0,64.28571429,10.714,28.571,35.714,19.2029,46.01449,5.43478,1.007246377,50,50,276,3350.45071,36,1183,5.624017506,29.34783,31.373,57.8431,0,2.6,2.91262,80.58252,10.67961,14.0825,0,79.6875,2.34375,38.70968,19.35484,13.70968,14.51613,8.06452,0,0,0,0,0,0,0,100,0,0,0.08268,0,0,0,0,0,0,0,0,0,277,145.1897636,-38.10826929
2137016,0,0,0,2,45,0,0,0,0,0,58.53658537,16.26,29.268,29.268,22.55639,44.11028,6.51629,0.941747573,51.37845,48.62155,399,3069.80592,39,1357,5.991464547,26.81704,24.648,57.0423,1.2931,2.6,2.06897,73.7931,20.68966,8.68421,1.2931,78.44828,3.87931,28.13853,20.34632,20.77922,23.80952,5.62771,0,0,0,0,0,0,0,100,0,0,0.1303,0,0,0,0,0,0,0,0,0,400,145.1938705,-38.10839484
2137017,0,0,0,2,70,0,1,0,0,1,56.75675676,15.541,33.784,22.973,17.74194,45.16129,8.75576,1.004608295,50.23041,49.76959,434,2806.11736,39,1271,6.075346031,28.34101,37.584,55.0336,1.86047,2.7,2.01342,78.52349,17.44966,10.38407,0,82.7907,2.7907,32.09302,13.95349,19.06977,24.18605,5.11628,0,0,0,0,0,0,0,100,0,0,0.15502,0,0,0,0,0,0,0,0,0,435,145.1946359,-38.10421105
2137018,0,0,0,2,0,0,0,0,0,0,51.78571429,16.071,27.679,24.107,29.22252,37.26542,7.5067,1.083798883,47.98928,52.01072,373,2371.10789,31,1101,5.92157842,26.00536,37.5,47.6563,1.71429,2.8,3.93701,79.52756,13.38583,8.22981,2.28571,77.14286,1.71429,24.57143,15.42857,17.71429,30.85714,6.28571,0,37.25757,0,0,0,0,0,62.74243,0,0.15511,0.15731,0,0,0,0,0,0,0,0,0,373,145.1814402,-38.1083943
